rjd,vrad,true_vrad1,true_vrad2,svrad,fwhm,sig_fwhm,bis_span,sig_bis_span,contrast,sig_contrast,s_mw,sig_s,ha,sig_ha,na,sig_na,ca,sig_ca,rhk,sig_rhk,berv,weight,file_rootpath
58684.80578933004,-14845.301458,-3.54,-3.61,0.459609,8834.652342,0.919218,-21.379567,0.919218,48.570716,0.005054,167.59997,0.041103,0.19325,2.5e-05,0.381117,2e-05,0.130843,3.9e-05,-4.850144,0.000221,17.503247,1,ESPRE.2019-07-20T07:12:17.447.fits
58684.80854739994,-14844.6234,-3.94,-4.01,0.449159,8831.84568,0.898318,-23.881019,0.898318,48.586502,0.004942,167.339135,0.039375,0.193174,2.4e-05,0.380815,2e-05,0.130593,3.8e-05,-4.851552,0.000213,17.495456,1,ESPRE.2019-07-20T07:16:14.564.fits
58684.81129204016,-14837.168028,-4.34,-4.4,0.434693,8835.538211,0.869386,-25.304765,0.869386,48.585709,0.004781,167.599459,0.03707,0.193683,2.3e-05,0.38086,1.9e-05,0.130842,3.6e-05,-4.850147,0.0002,17.487715,1,ESPRE.2019-07-20T07:20:11.681.fits
58684.81403724989,-14833.153824,-4.73,-4.8,0.425343,8839.410621,0.850685,-23.340379,0.850685,48.550592,0.004672,168.049189,0.035542,0.194117,2.2e-05,0.381552,1.8e-05,0.131273,3.4e-05,-4.847731,0.00019,17.479986,1,ESPRE.2019-07-20T07:24:08.864.fits
58684.81678294996,-14824.616308,-5.13,-5.19,0.421554,8849.314629,0.843108,-22.976578,0.843108,48.524926,0.004623,167.755225,0.034886,0.193421,2.2e-05,0.381609,1.8e-05,0.130992,3.3e-05,-4.849309,0.000188,17.472272,1,ESPRE.2019-07-20T07:28:06.016.fits
58684.81949746981,-14820.387612,-5.52,-5.58,0.419555,8856.281182,0.839111,-21.749276,0.839111,48.489179,0.004594,167.811043,0.034459,0.193481,2.2e-05,0.381694,1.8e-05,0.131045,3.3e-05,-4.849009,0.000185,17.464663,1,ESPRE.2019-07-20T07:31:59.807.fits
58684.822231930215,-14814.114909,-5.91,-5.97,0.42195,8861.922807,0.843901,-19.635123,0.843901,48.451147,0.004614,168.041716,0.034831,0.19321,2.2e-05,0.382253,1.8e-05,0.131266,3.3e-05,-4.847771,0.000187,17.457019,1,ESPRE.2019-07-20T07:35:56.828.fits
58684.82497787988,-14810.600504,-6.31,-6.37,0.428904,8867.583343,0.857808,-16.745584,0.857808,48.431362,0.004685,168.18218,0.035906,0.192796,2.2e-05,0.381724,1.8e-05,0.131401,3.4e-05,-4.847019,0.000192,17.449364,1,ESPRE.2019-07-20T07:39:53.961.fits
58684.82771589002,-14809.904454,-6.7,-6.76,0.437255,8870.445596,0.874509,-18.22302,0.874509,48.416344,0.004773,168.157013,0.037265,0.193104,2.3e-05,0.381818,1.9e-05,0.131376,3.6e-05,-4.847154,0.000199,17.441757,1,ESPRE.2019-07-20T07:43:51.089.fits
58684.83046350023,-14809.950821,-7.09,-7.16,0.44258,8868.826461,0.885161,-16.435743,0.885161,48.423823,0.004833,167.86235,0.038237,0.193332,2.3e-05,0.381481,1.9e-05,0.131094,3.7e-05,-4.848733,0.000205,17.434148,1,ESPRE.2019-07-20T07:47:48.266.fits
58684.83317749016,-14811.505011,-7.49,-7.55,0.43049,8864.558728,0.86098,-17.14962,0.86098,48.438942,0.004705,167.868622,0.036238,0.193569,2.2e-05,0.38203,1.8e-05,0.1311,3.5e-05,-4.8487,0.000195,17.426661,1,ESPRE.2019-07-20T07:51:43.054.fits
58684.83588474011,-14810.249504,-7.87,-7.94,0.442195,8870.045591,0.884391,-17.640887,0.884391,48.415859,0.004827,167.845106,0.038111,0.192649,2.3e-05,0.381749,1.9e-05,0.131078,3.7e-05,-4.848826,0.000205,17.419222,1,ESPRE.2019-07-20T07:55:37.580.fits
58684.83862194,-14813.186015,-8.27,-8.33,0.422602,8868.511848,0.845204,-18.156096,0.845204,48.429983,0.004616,167.575847,0.035072,0.192961,2.2e-05,0.381499,1.8e-05,0.13082,3.4e-05,-4.850274,0.000189,17.411732,1,ESPRE.2019-07-20T07:59:32.298.fits
58684.84132931009,-14811.208923,-8.66,-8.72,0.421534,8869.383125,0.843067,-19.023007,0.843067,48.42958,0.004603,168.061273,0.034956,0.19306,2.2e-05,0.381565,1.8e-05,0.131285,3.3e-05,-4.847666,0.000187,17.404358,1,ESPRE.2019-07-20T08:03:27.025.fits
58684.84405894019,-14812.848654,-9.05,-9.11,0.421992,8868.090113,0.843983,-15.477377,0.843983,48.425032,0.004609,168.254602,0.035144,0.193047,2.2e-05,0.382135,1.8e-05,0.13147,3.4e-05,-4.846632,0.000188,17.396959,1,ESPRE.2019-07-20T08:07:24.085.fits
58684.84681852022,-14812.600232,-9.45,-9.51,0.42136,8868.978316,0.84272,-19.449684,0.84272,48.42638,0.004601,167.925706,0.034946,0.193337,2.2e-05,0.381943,1.8e-05,0.131155,3.3e-05,-4.848393,0.000188,17.389516,1,ESPRE.2019-07-20T08:11:21.220.fits
58684.84956482006,-14811.97839,-9.84,-9.91,0.413216,8870.114579,0.826431,-19.514172,0.826431,48.414638,0.004511,168.165769,0.033754,0.193164,2.1e-05,0.381568,1.7e-05,0.131385,3.2e-05,-4.847107,0.000181,17.38215,1,ESPRE.2019-07-20T08:15:18.274.fits
58684.85230163019,-14815.521598,-10.24,-10.3,0.417292,8870.115338,0.834585,-16.763824,0.834585,48.420239,0.004556,167.898638,0.034442,0.192696,2.1e-05,0.381897,1.7e-05,0.131129,3.3e-05,-4.848538,0.000185,17.374852,1,ESPRE.2019-07-20T08:19:15.430.fits
58684.85505138012,-14813.26443,-10.63,-10.7,0.424284,8865.606901,0.848568,-17.367498,0.848568,48.434295,0.004636,167.952297,0.03564,0.192816,2.2e-05,0.381506,1.8e-05,0.13118,3.4e-05,-4.848251,0.000191,17.367563,1,ESPRE.2019-07-20T08:23:12.551.fits
