rjd,vrad,true_vrad1,true_vrad2,svrad,fwhm,sig_fwhm,bis_span,sig_bis_span,contrast,sig_contrast,s_mw,sig_s,ha,sig_ha,na,sig_na,ca,sig_ca,rhk,sig_rhk,berv,weight,file_rootpath
59522.674387880135,1269.222033,-1.24,-0.59,1.535136,9131.887004,3.070272,57.458855,3.070272,49.424399,0.016617,177.79057,0.29609,0.200751,0.000145,0.348204,0.000115,0.140604,0.000284,-4.826519,0.001409,-20.568927,1,ESPRE.2021-11-04T04:02:00.155.fits
59522.67853398016,1264.042081,-1.49,-0.84,1.509844,9130.082036,3.019687,62.083339,3.019687,49.414569,0.016343,178.208023,0.286349,0.201334,0.000143,0.347332,0.000112,0.141004,0.000274,-4.824536,0.001357,-20.579063,1,ESPRE.2021-11-04T04:07:59.513.fits
59522.68268204993,1261.980228,-1.74,-1.09,1.524595,9118.004502,3.049189,58.159353,3.049189,49.395831,0.016519,179.64366,0.293231,0.200604,0.000144,0.347086,0.000114,0.142379,0.000281,-4.817787,0.001368,-20.589069,1,ESPRE.2021-11-04T04:13:59.049.fits
59522.68686382007,1256.630016,-2.0,-1.34,1.532057,9126.803465,3.064114,59.842073,3.064114,49.377474,0.016577,179.720093,0.296025,0.201058,0.000145,0.347748,0.000114,0.142452,0.000284,-4.81743,0.00138,-20.599014,1,ESPRE.2021-11-04T04:19:58.611.fits
59522.69103285996,1248.056398,-2.25,-1.6,1.49342,9112.728326,2.98684,59.508498,2.98684,49.483401,0.016219,178.535421,0.283126,0.200607,0.000141,0.347528,0.000111,0.141317,0.000271,-4.822988,0.001337,-20.608781,1,ESPRE.2021-11-04T04:25:58.140.fits
59522.69519368,1247.264632,-2.5,-1.85,1.460669,9098.735684,2.921339,68.006607,2.921339,49.520044,0.015899,178.510949,0.271294,0.200863,0.000137,0.347545,0.000108,0.141294,0.00026,-4.823103,0.001281,-20.618376,1,ESPRE.2021-11-04T04:31:57.495.fits
59522.69934953982,1243.559489,-2.75,-2.1,1.452489,9106.187891,2.904979,67.635859,2.904979,49.530182,0.015801,178.771472,0.269083,0.201577,0.000136,0.347816,0.000107,0.141544,0.000258,-4.821875,0.001267,-20.627801,1,ESPRE.2021-11-04T04:37:57.484.fits
59522.70351879997,1237.14076,-3.0,-2.35,1.450539,9101.237477,2.901079,63.793241,2.901079,49.553653,0.015796,179.863832,0.270285,0.201544,0.000136,0.345793,0.000107,0.14259,0.000259,-4.816761,0.001258,-20.637093,1,ESPRE.2021-11-04T04:43:59.614.fits
59522.70770365,1237.455785,-3.26,-2.6,1.474657,9098.351862,2.949315,61.15247,2.949315,49.534973,0.016057,179.856916,0.279384,0.200628,0.000138,0.348384,0.000109,0.142583,0.000268,-4.816793,0.0013,-20.646247,1,ESPRE.2021-11-04T04:49:59.040.fits
59522.71187582007,1238.518372,-3.51,-2.86,1.479895,9094.062836,2.959789,63.654826,2.959789,49.563162,0.016131,182.279152,0.283167,0.202065,0.000139,0.346878,0.00011,0.144903,0.000271,-4.805662,0.001285,-20.655199,1,ESPRE.2021-11-04T04:55:58.537.fits
